iter	Passed	Remaining
0	65	13078
1	125	12431
2	184	12130
3	243	11919
4	302	11791
5	361	11676
6	421	11628
7	481	11556
8	539	11456
9	598	11366
10	657	11303
11	717	11233
12	775	11157
13	835	11096
14	897	11068
15	959	11037
16	1021	10996
17	1083	10959
18	1145	10908
19	1204	10840
20	1263	10767
21	1322	10697
22	1380	10622
23	1440	10562
24	1498	10489
25	1558	10427
26	1616	10357
27	1677	10307
28	1735	10234
29	1793	10160
30	1853	10103
31	1913	10048
32	1971	9979
33	2034	9932
34	2091	9861
35	2149	9791
36	2210	9737
37	2270	9679
38	2329	9616
39	2388	9552
40	2446	9486
41	2504	9420
42	2563	9360
43	2622	9298
44	2681	9237
45	2739	9172
46	2797	9106
47	2855	9041
48	2911	8971
49	2970	8910
50	3028	8848
51	3087	8787
52	3146	8725
53	3204	8663
54	3262	8602
55	3324	8549
56	3385	8492
57	3446	8437
58	3505	8377
59	3564	8316
60	3623	8256
61	3681	8195
62	3740	8134
63	3799	8072
64	3858	8012
65	3916	7951
66	3974	7889
67	4032	7828
68	4090	7765
69	4149	7706
70	4207	7644
71	4264	7580
72	4322	7519
73	4381	7461
74	4441	7401
75	4498	7340
76	4556	7278
77	4614	7216
78	4673	7157
79	4732	7098
80	4790	7037
81	4848	6976
82	4906	6915
83	4964	6855
84	5023	6796
85	5080	6734
86	5140	6676
87	5198	6616
88	5257	6556
89	5314	6495
90	5372	6435
91	5430	6375
92	5489	6315
93	5549	6257
94	5610	6200
95	5673	6146
96	5736	6091
97	5803	6040
98	5863	5981
99	5922	5922
100	5981	5862
101	6040	5803
102	6098	5743
103	6155	5682
104	6213	5621
105	6271	5561
106	6329	5501
107	6390	5443
108	6449	5384
109	6516	5332
110	6575	5272
111	6634	5212
112	6692	5152
113	6750	5092
114	6808	5032
115	6866	4971
116	6924	4912
117	6981	4851
118	7040	4792
119	7099	4732
120	7157	4673
121	7216	4613
122	7274	4554
123	7332	4494
124	7391	4434
125	7449	4375
126	7508	4315
127	7567	4256
128	7626	4197
129	7698	4145
130	7757	4085
131	7814	4025
132	7873	3966
133	7933	3907
134	7992	3848
135	8052	3789
136	8113	3731
137	8174	3672
138	8234	3613
139	8292	3554
140	8352	3494
141	8410	3435
142	8468	3375
143	8531	3317
144	8592	3259
145	8650	3199
146	8710	3140
147	8770	3081
148	8833	3023
149	8894	2964
150	8953	2905
151	9011	2845
152	9068	2785
153	9126	2726
154	9186	2666
155	9244	2607
156	9302	2547
157	9360	2488
158	9419	2428
159	9476	2369
160	9536	2310
161	9597	2251
162	9655	2191
163	9715	2132
164	9776	2073
165	9838	2015
166	9896	1955
167	9953	1895
168	10012	1836
169	10070	1777
170	10129	1717
171	10189	1658
172	10247	1599
173	10309	1540
174	10371	1481
175	10433	1422
176	10495	1363
177	10555	1304
178	10614	1245
179	10673	1185
180	10732	1126
181	10790	1067
182	10848	1007
183	10905	948
184	10963	888
185	11023	829
186	11081	770
187	11139	711
188	11196	651
189	11254	592
190	11313	533
191	11371	473
192	11429	414
193	11489	355
194	11549	296
195	11607	236
196	11666	177
197	11725	118
198	11783	59
199	11841	0
