iter	Passed	Remaining
0	7	1457
1	14	1456
2	21	1424
3	29	1422
4	36	1406
5	43	1397
6	50	1387
7	57	1378
8	64	1370
9	71	1363
10	79	1357
11	85	1347
12	93	1337
13	100	1331
14	107	1325
15	114	1319
16	121	1311
17	129	1308
18	136	1301
19	143	1294
20	150	1285
21	157	1277
22	165	1274
23	173	1273
24	180	1266
25	188	1259
26	196	1260
27	203	1252
28	210	1242
29	217	1235
30	225	1228
31	232	1221
32	239	1214
33	246	1205
34	253	1197
35	261	1189
36	268	1183
37	276	1176
38	283	1169
39	290	1162
40	298	1156
41	305	1149
42	312	1141
43	319	1134
44	327	1127
45	334	1118
46	341	1112
47	349	1105
48	356	1099
49	364	1092
50	371	1084
51	378	1077
52	385	1070
53	392	1062
54	400	1054
55	407	1046
56	414	1038
57	422	1034
58	429	1027
59	437	1019
60	444	1012
61	451	1005
62	458	998
63	466	991
64	473	984
65	481	977
66	488	970
67	496	963
68	503	955
69	510	948
70	517	940
71	525	933
72	532	925
73	539	918
74	546	911
75	554	904
76	562	897
77	569	891
78	577	883
79	584	876
80	591	869
81	598	861
82	605	853
83	613	846
84	620	839
85	627	832
86	635	824
87	642	817
88	649	810
89	657	803
90	664	796
91	671	788
92	678	781
93	686	773
94	693	766
95	700	758
96	706	750
97	714	743
98	721	736
99	728	728
100	736	722
101	744	715
102	751	707
103	759	700
104	766	693
105	773	685
106	780	678
107	787	670
108	794	663
109	801	656
110	809	648
111	816	641
112	823	634
113	831	627
114	838	619
115	845	612
116	852	604
117	860	597
118	866	590
119	874	582
120	881	575
121	889	568
122	896	561
123	904	554
124	911	546
125	919	539
126	926	532
127	934	525
128	941	518
129	949	511
130	956	503
131	963	496
132	971	489
133	978	482
134	986	474
135	993	467
136	1000	460
137	1008	452
138	1015	445
139	1022	438
140	1029	430
141	1036	423
142	1043	416
143	1051	408
144	1058	401
145	1065	394
146	1073	386
147	1080	379
148	1087	372
149	1094	364
150	1102	357
151	1109	350
152	1117	343
153	1124	335
154	1131	328
155	1138	321
156	1146	313
157	1154	306
158	1161	299
159	1168	292
160	1175	284
161	1182	277
162	1189	270
163	1196	262
164	1203	255
165	1210	247
166	1218	240
167	1225	233
168	1232	226
169	1240	218
170	1247	211
171	1254	204
172	1262	196
173	1269	189
174	1277	182
175	1284	175
176	1291	167
177	1298	160
178	1305	153
179	1312	145
180	1320	138
181	1328	131
182	1337	124
183	1344	116
184	1352	109
185	1359	102
186	1366	94
187	1373	87
188	1381	80
189	1388	73
190	1395	65
191	1402	58
192	1410	51
193	1418	43
194	1425	36
195	1432	29
196	1440	21
197	1447	14
198	1454	7
199	1461	0
